Player,Matches,Inns,Runs,Avg,Sr,4S,6S
Sachin Tendulkar,200,329,"15,921",54,54,"2,058",69
Rahul Dravid,163,284,"13,265",53,43,"1,652",21
Sunil Gavaskar,125,214,"10,122",51,66,"1,016",26
VVS Laxman,134,225,"8,781",46,49,"1,135",5
Virender Sehwag,103,178,"8,503",49,82,"1,219",90
Virat Kohli,86,145,"7,240",54,58,811,22
Sourav Ganguly,113,188,"7,212",42,51,900,57
Dilip Vengsarkar,116,185,"6,868",42,60,560,17
Mohammad Azharuddin,99,147,"6,215",45,63,720,19
Gundappa Viswanath,91,155,"6,080",42,76,616,6
Cheteshwar Pujara,77,128,"5,840",49,46,691,14
Kapil Dev,131,184,"5,248",31,95,587,61
MS Dhoni,90,144,"4,876",38,59,544,78
Mohinder Amarnath,69,113,"4,378",43,86,330,21
Ajinkya Rahane,65,109,"4,203",43,50,475,29
Gautam Gambhir,58,104,"4,154",42,51,517,10
Murali Vijay,61,105,"3,982",38,46,467,33
Ravi Shastri,80,121,"3,830",36,48,317,22
Polly Umrigar,59,94,"3,631",42,,151,4
Vijay Manjrekar,55,92,"3,208",39,,197,0
