Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Super Kings,RCB,Super Kings,7 wickets,Chennai,23-Mar-19,T20
KKR,Sunrisers,KKR,6 wickets,Kolkata,24-Mar-19,T20
Mum Indians,Capitals,Capitals,37 runs,Mumbai,24-Mar-19,T20
Royals,Kings XI,Kings XI,14 runs,Jaipur,25-Mar-19,T20
Capitals,Super Kings,Super Kings,6 wickets,Delhi,26-Mar-19,T20
KKR,Kings XI,KKR,28 runs,Kolkata,27-Mar-19,T20
RCB,Mum Indians,Mum Indians,6 runs,Bengaluru,28-Mar-19,T20
Sunrisers,Royals,Sunrisers,5 wickets,Hyderabad (Deccan),29-Mar-19,T20
Kings XI,Mum Indians,Kings XI,8 wickets,Mohali,30-Mar-19,T20
Capitals,KKR,tied,,Delhi,30-Mar-19,T20
Sunrisers,RCB,Sunrisers,118 runs,Hyderabad (Deccan),31-Mar-19,T20
Super Kings,Royals,Super Kings,8 runs,Chennai,31-Mar-19,T20
Kings XI,Capitals,Kings XI,14 runs,Mohali,1-Apr-19,T20
Royals,RCB,Royals,7 wickets,Jaipur,2-Apr-19,T20
Mum Indians,Super Kings,Mum Indians,37 runs,Mumbai,3-Apr-19,T20
Capitals,Sunrisers,Sunrisers,5 wickets,Delhi,4-Apr-19,T20
RCB,KKR,KKR,5 wickets,Bengaluru,5-Apr-19,T20
Super Kings,Kings XI,Super Kings,22 runs,Chennai,6-Apr-19,T20
Sunrisers,Mum Indians,Mum Indians,40 runs,Hyderabad (Deccan),6-Apr-19,T20
RCB,Capitals,Capitals,4 wickets,Bengaluru,7-Apr-19,T20
Royals,KKR,KKR,8 wickets,Jaipur,7-Apr-19,T20
Kings XI,Sunrisers,Kings XI,6 wickets,Mohali,8-Apr-19,T20
Super Kings,KKR,Super Kings,7 wickets,Chennai,9-Apr-19,T20
Mum Indians,Kings XI,Mum Indians,3 wickets,Mumbai,10-Apr-19,T20
Royals,Super Kings,Super Kings,4 wickets,Jaipur,11-Apr-19,T20
KKR,Capitals,Capitals,7 wickets,Kolkata,12-Apr-19,T20
Mum Indians,Royals,Royals,4 wickets,Mumbai,13-Apr-19,T20
Kings XI,RCB,RCB,8 wickets,Mohali,13-Apr-19,T20
KKR,Super Kings,Super Kings,5 wickets,Kolkata,14-Apr-19,T20
Sunrisers,Capitals,Capitals,39 runs,Hyderabad (Deccan),14-Apr-19,T20
Mum Indians,RCB,Mum Indians,5 wickets,Mumbai,15-Apr-19,T20
Kings XI,Royals,Kings XI,12 runs,Mohali,16-Apr-19,T20
Sunrisers,Super Kings,Sunrisers,6 wickets,Hyderabad (Deccan),17-Apr-19,T20
Capitals,Mum Indians,Mum Indians,40 runs,Delhi,18-Apr-19,T20
KKR,RCB,RCB,10 runs,Kolkata,19-Apr-19,T20
Royals,Mum Indians,Royals,5 wickets,Jaipur,20-Apr-19,T20
Capitals,Kings XI,Capitals,5 wickets,Delhi,20-Apr-19,T20
Sunrisers,KKR,Sunrisers,9 wickets,Hyderabad (Deccan),21-Apr-19,T20
RCB,Super Kings,RCB,1 run,Bengaluru,21-Apr-19,T20
Royals,Capitals,Capitals,6 wickets,Jaipur,22-Apr-19,T20
Super Kings,Sunrisers,Super Kings,6 wickets,Chennai,23-Apr-19,T20
RCB,Kings XI,RCB,17 runs,Bengaluru,24-Apr-19,T20
KKR,Royals,Royals,3 wickets,Kolkata,25-Apr-19,T20
Super Kings,Mum Indians,Mum Indians,46 runs,Chennai,26-Apr-19,T20
Royals,Sunrisers,Royals,7 wickets,Jaipur,27-Apr-19,T20
Capitals,RCB,Capitals,16 runs,Delhi,28-Apr-19,T20
KKR,Mum Indians,KKR,34 runs,Kolkata,28-Apr-19,T20
Sunrisers,Kings XI,Sunrisers,45 runs,Hyderabad (Deccan),29-Apr-19,T20
RCB,Royals,no result,,Bengaluru,30-Apr-19,T20
Super Kings,Capitals,Super Kings,80 runs,Chennai,1-May-19,T20
Mum Indians,Sunrisers,tied,,Mumbai,2-May-19,T20
Kings XI,KKR,KKR,7 wickets,Mohali,3-May-19,T20
Capitals,Royals,Capitals,5 wickets,Delhi,4-May-19,T20
RCB,Sunrisers,RCB,4 wickets,Bengaluru,4-May-19,T20
Kings XI,Super Kings,Kings XI,6 wickets,Mohali,5-May-19,T20
Mum Indians,KKR,Mum Indians,9 wickets,Mumbai,5-May-19,T20
Mum Indians,Super Kings,Mum Indians,6 wickets,Chennai,7-May-19,T20
Capitals,Sunrisers,Capitals,2 wickets,Visakhapatnam,8-May-19,T20
Super Kings,Capitals,Super Kings,6 wickets,Visakhapatnam,10-May-19,T20
Mum Indians,Super Kings,Mum Indians,1 run,Hyderabad (Deccan),12-May-19,T20
